t d dw dc
0 -5.551115123e-17 0.2165787282 0.02898868749
0.0005 5.651769669e-05 -0.1545585968 0.03586380873
0.001 0.0001693673642 -0.1582470729 0.03541209288
0.0015 0.0003381780535 -0.1619862101 0.03499741684
0.002 0.0005623945967 -0.1657731279 0.03463670808
0.0025 0.0008412791104 -0.1696051301 0.03434656867
0.003 0.001173912994 -0.1734796668 0.0341431845
0.0035 0.00155919942 -0.1773943668 0.03404223594
0.004 0.001995866307 0.7590129207 0.03405881061
0.0045 0.002482469771 -0.03130179075 0.03420731822
0.005 0.003017398046 -0.03279377841 0.003017373459
0.0055 0.003598875861 -0.03418812911 0.003598846537
0.006 0.004224969275 -0.0354840373 0.004224934849
0.0065 0.004893590932 -0.03668094569 0.004893551058
0.007 0.00560250576 -0.03777854191 0.00560246011
0.0075 0.006349337067 -0.03877675456 0.006349285332
0.008 0.007131573036 -0.0396757487 0.007131514926
0.0085 0.007946573598 -0.04047592081 0.007946508848
0.009 0.008791577678 -0.0411778932 0.008791506043
0.0095 0.009663710771 -0.04178250796 0.009663632029
0.01 0.01055999285 -0.04229082034 0.01055990681
0.0105 0.0114773466 -0.04270409172 0.01147725308
0.011 0.01241260591 -0.04302378209 0.01241250477
0.0115 0.01336252463 -0.04325154209 0.01336241575
0.012 0.01432378563 -0.0433892047 0.01432366891
0.0125 0.01529300999 -0.04343877646 0.01529288538
0.013 0.0162667665 -0.04340242841 0.01626663395
0.0135 0.01724158121 -0.04328248664 0.01724144072
0.014 0.01821394727 -0.04308142252 0.01821379885
0.0145 0.01918033476 -0.04280184274 0.01918017848
0.015 0.02013720078 -0.04244647895 0.02013703669
0.0155 0.02108099945 -0.04201817729 0.02108082768
0.016 0.02200819213 -0.04151988767 0.02200801281
0.0165 0.02291525755 -0.04095465286 0.02291507084
0.017 0.023798702 -0.04032559751 0.02379850808
0.0175 0.02465506948 -0.03963591694 0.02465486858
0.018 0.02548095183 -0.03888886597 0.02548074421
0.0185 0.02627299878 -0.03808774758 0.02627278471
0.019 0.02702792789 -0.03723590165 0.02702770766
0.0195 0.02774253435 -0.0363366936 0.0277423083
0.02 0.02841370072 -0.03539350313 0.0284134692
0.0205 0.0290384064 -0.03440971301 0.02903816979
0.021 0.02961373699 -0.03338869797 0.02961349569
0.0215 0.03013689334 -0.03233381362 0.03013664778
0.022 0.03060520048 -0.03124838567 0.0306049511
0.0225 0.03101611617 -0.03013569918 0.03101586344
0.023 0.03136723925 -0.0289989881 0.03136698366
0.0235 0.03165631764 -0.02784142499 0.0316560597
0.024 0.03188125603 -0.02666611103 0.03188099625
0.0245 0.03204012321 -0.02547606629 0.03203986214
0.025 0.03213115905 -0.02427422029 0.03213089724
0.0255 0.03215278109 -0.02306340292 0.0321525191
0.026 0.03210359073 -0.02184633567 0.03210332914
0.0265 0.03198237898 -0.02062562327 0.03198211839
0.027 0.03178813183 -0.0194037457 0.03178787281
0.0275 0.03152003509 -0.01818305062 0.03151977826
0.028 0.03117747885 -0.01696574623 0.0311772248
0.0285 0.03076006141 -0.01575389459 0.03075981077
0.029 0.03026759276 -0.01454940534 0.03026734613
0.0295 0.02970009753 -0.01335403006 0.02969985552
0.03 0.02905781744 -0.0121693569 0.02905758067
0.0305 0.02834121327 -0.01099680592 0.02834098234
0.031 0.02755096627 -0.009837624848 0.02755074178
0.0315 0.02668797905 -0.00869288537 0.02668776159
0.032 0.02575337597 -0.007563479988 0.02575316613
0.0325 0.02474850294 -0.006450119409 0.02474830128
0.033 0.02367492674 -0.00535333049 0.02367473383
0.0335 0.02253443376 -0.004273454734 0.02253425015
0.034 0.02132902824 -0.003210647353 0.02132885445
0.0345 0.02006092995 -0.002164876888 0.02006076649
0.035 0.01873257132 -0.001135925397 0.01873241869
0.0355 0.01734659411 -0.0001233891966 0.01734645277
0.036 0.01590584549 0.0008733198276 0.01590571589
0.0365 0.01441337362 0.001854972363 0.01441325618
0.037 0.01287242276 0.002822519258 0.01287231788
0.0375 0.01128642785 0.003777088564 0.01128633589
0.038 0.009659008579 0.004719982046 0.009658929876
0.0385 0.007993963044 0.005652671165 0.007993897907
0.039 0.006295260885 0.006576792541 0.00629520959
0.0395 0.004567036005 0.007494142913 0.004566998792
0.04 0.002813578837 0.008406673612 0.002813555911
0.0405 0.001039328204 0.009316484551 0.001039319736
0.041 -0.0007511372268 0.01022581776 -0.0007511311064
0.0415 -0.002553107876 0.01113705046 -0.002553087073
0.042 -0.004361752546 0.01205268774 -0.004361717005
0.0425 -0.006172128057 0.01297535481 -0.006172077765
0.043 -0.007979189215 0.01390778883 -0.007979124199
0.0435 -0.009777799077 0.01485283047 -0.009777719406
0.044 -0.0115627395 0.01581341499 -0.01156264528
0.0445 -0.01332872193 0.01679256313 -0.01332861333
0.045 -0.01507039848 0.01779337161 -0.01507027569
0.0455 -0.01678237314 0.0188190034 -0.01678223639
0.046 -0.0184592132 0.01987267772 -0.01845906279
0.0465 -0.02009546092 0.02095765983 -0.02009529718
0.047 -0.02168564515 0.02207725061 -0.02168546845
0.0475 -0.02322429326 0.023234776 -0.02322410402
0.048 -0.02470594299 0.02443357625 -0.02470574168
0.0485 -0.02612515447 0.02567699508 -0.0261249416
0.049 -0.02747652217 0.0269683688 -0.02747629828
0.0495 -0.02875468694 0.02831101525 -0.02875445264
0.05 -0.02995434797 0.02970822286 -0.0299541039
0.0505 -0.0310702747 0.03116323956 -0.03107002153
0.051 -0.03209731866 0.03267926187 -0.03209705712
0.0515 -0.03303042521 0.03425942391 -0.03303015607
0.052 -0.03386464511 0.03590678656 -0.03386436918
0.0525 -0.034595146 0.03762432674 -0.03459486411
0.053 -0.03521722358 0.03941492683 -0.03521693663
0.0535 -0.0357263127 0.0412813642 -0.03572602159
0.054 -0.03611799809 0.04322630104 -0.0361177038
0.0545 -0.03638802495 0.04525227431 -0.03638772845
0.055 -0.03653230912 0.04736168601 -0.03653201145
0.0555 -0.03654694705 0.04955679371 -0.03654664926
0.056 -0.03642822535 0.05183970137 -0.03642792852
0.0565 -0.03617263002 0.05421235051 -0.03617233528
0.057 -0.03577685531 0.05667651169 -0.03577656379
0.0575 -0.03523781212 0.05923377642 -0.03523752499
0.058 -0.03455263602 0.06188554943 -0.03455235448
0.0585 -0.03371869484 0.06463304137 -0.03371842009
0.059 -0.03273359575 0.06747726195 -0.03273332903
0.0595 -0.03159519189 0.07041901354 -0.03159493444
0.06 -0.03030158849 0.07345888522 -0.03030134158
0.0605 -0.02885114849 0.07659724742 -0.0288509134
0.061 -0.02724249763 0.07983424692 -0.02724227565
0.0615 -0.02547452899 0.08316980252 -0.02547432142
